Source,Target,Weight,Type
ABronte_Agnes,ABronte_Tenant,5406,undirected
ABronte_Agnes,Austen_Emma,354,undirected
ABronte_Agnes,Austen_Pride,82,undirected
ABronte_Agnes,Austen_Sense,238,undirected
ABronte_Agnes,CBronte_Jane,1662,undirected
ABronte_Agnes,CBronte_Professor,152,undirected
ABronte_Agnes,CBronte_Villette,385,undirected
ABronte_Agnes,Dickens_David,12,undirected
ABronte_Agnes,EBronte_Wuthering,222,undirected
ABronte_Agnes,Eliot_Middlemarch,180,undirected
ABronte_Agnes,Eliot_Mill,32,undirected
ABronte_Agnes,Richardson_Clarissa,17,undirected
ABronte_Agnes,Richardson_Pamela,679,undirected
ABronte_Agnes,Trollope_Barchester,58,undirected
ABronte_Tenant,ABronte_Agnes,5406,undirected
ABronte_Tenant,Austen_Pride,114,undirected
ABronte_Tenant,Austen_Sense,225,undirected
ABronte_Tenant,CBronte_Jane,1088,undirected
ABronte_Tenant,EBronte_Wuthering,3113,undirected
ABronte_Tenant,Richardson_Clarissa,907,undirected
ABronte_Tenant,Richardson_Pamela,1802,undirected
Austen_Emma,ABronte_Agnes,354,undirected
Austen_Emma,Austen_Pride,4505,undirected
Austen_Emma,Austen_Sense,3604,undirected
Austen_Emma,Eliot_Middlemarch,402,undirected
Austen_Emma,Trollope_Barchester,145,undirected
Austen_Pride,ABronte_Agnes,82,undirected
Austen_Pride,ABronte_Tenant,114,undirected
Austen_Pride,Austen_Emma,4505,undirected
Austen_Pride,Austen_Sense,5406,undirected
Austen_Pride,Fielding_Tom,743,undirected
Austen_Pride,Richardson_Clarissa,81,undirected
Austen_Pride,Trollope_Barchester,705,undirected
Austen_Sense,ABronte_Agnes,238,undirected
Austen_Sense,ABronte_Tenant,225,undirected
Austen_Sense,Austen_Emma,3604,undirected
Austen_Sense,Austen_Pride,5406,undirected
Austen_Sense,Fielding_Tom,339,undirected
Austen_Sense,Trollope_Barchester,408,undirected
CBronte_Jane,ABronte_Agnes,1662,undirected
CBronte_Jane,ABronte_Tenant,1088,undirected
CBronte_Jane,CBronte_Professor,3981,undirected
CBronte_Jane,CBronte_Villette,4369,undirected
CBronte_Jane,Dickens_Bleak,120,undirected
CBronte_Jane,EBronte_Wuthering,3604,undirected
CBronte_Jane,EHemingway_OldMan,2269,undirected
