Source,Target,Weight,Type
ABronte_Agnes,ABronte_Tenant,546,undirected
ABronte_Agnes,Austen_Emma,37,undirected
ABronte_Agnes,Austen_Pride,9,undirected
ABronte_Agnes,Austen_Sense,24,undirected
ABronte_Agnes,CBronte_Jane,169,undirected
ABronte_Agnes,CBronte_Professor,14,undirected
ABronte_Agnes,CBronte_Villette,40,undirected
ABronte_Agnes,Dickens_David,2,undirected
ABronte_Agnes,EBronte_Wuthering,22,undirected
ABronte_Agnes,Eliot_Middlemarch,18,undirected
ABronte_Agnes,Eliot_Mill,2,undirected
ABronte_Agnes,Richardson_Clarissa,2,undirected
ABronte_Agnes,Richardson_Pamela,69,undirected
ABronte_Agnes,Trollope_Barchester,6,undirected
ABronte_Tenant,ABronte_Agnes,546,undirected
ABronte_Tenant,Austen_Pride,11,undirected
ABronte_Tenant,Austen_Sense,24,undirected
ABronte_Tenant,CBronte_Jane,113,undirected
ABronte_Tenant,EBronte_Wuthering,311,undirected
ABronte_Tenant,Richardson_Clarissa,92,undirected
ABronte_Tenant,Richardson_Pamela,182,undirected
Austen_Emma,ABronte_Agnes,37,undirected
Austen_Emma,Austen_Pride,455,undirected
Austen_Emma,Austen_Sense,364,undirected
Austen_Emma,Eliot_Middlemarch,39,undirected
Austen_Emma,Trollope_Barchester,15,undirected
Austen_Pride,ABronte_Agnes,9,undirected
Austen_Pride,ABronte_Tenant,11,undirected
Austen_Pride,Austen_Emma,455,undirected
Austen_Pride,Austen_Sense,546,undirected
Austen_Pride,Fielding_Tom,76,undirected
Austen_Pride,Richardson_Clarissa,10,undirected
Austen_Pride,Trollope_Barchester,71,undirected
Austen_Sense,ABronte_Agnes,24,undirected
Austen_Sense,ABronte_Tenant,24,undirected
Austen_Sense,Austen_Emma,364,undirected
Austen_Sense,Austen_Pride,546,undirected
Austen_Sense,Fielding_Tom,34,undirected
Austen_Sense,Trollope_Barchester,39,undirected
CBronte_Jane,ABronte_Agnes,169,undirected
CBronte_Jane,ABronte_Tenant,113,undirected
CBronte_Jane,CBronte_Professor,404,undirected
CBronte_Jane,CBronte_Villette,440,undirected
CBronte_Jane,Dickens_Bleak,11,undirected
CBronte_Jane,EBronte_Wuthering,364,undirected
CBronte_Jane,EHemingway_OldMan,229,undirected
CBronte_Professor,ABronte_Agnes,14,undirected
CBronte_Professor,CBronte_Jane,404,undirected
CBronte_Professor,CBronte_Villette,521,undirected
CBronte_Professor,Dickens_David,34,undirected
CBronte_Professor,EBronte_Wuthering,117,undirected
CBronte_Professor,EHemingway_OldMan,3,undirected
CBronte_Professor,Sterne_Sentimental,114,undirected
CBronte_Professor,Sterne_Tristram,26,undirected
CBronte_Professor,Thackeray_Barry,7,undirected
CBronte_Villette,ABronte_Agnes,40,undirected
CBronte_Villette,CBronte_Jane,440,undirected
CBronte_Villette,CBronte_Professor,521,undirected
CBronte_Villette,Dickens_David,52,undirected
CBronte_Villette,EBronte_Wuthering,45,undirected
CBronte_Villette,EHemingway_OldMan,80,undirected
CBronte_Villette,Sterne_Sentimental,19,undirected
CBronte_Villette,Thackeray_Barry,1,undirected
CBronte_Villette,Thackeray_Pendennis,1,undirected
CBronte_Villette,Thackeray_Vanity,2,undirected
Dickens_Bleak,CBronte_Jane,11,undirected
Dickens_Bleak,Dickens_David,541,undirected
Dickens_Bleak,Dickens_Hard,460,undirected
Dickens_Bleak,EBronte_Wuthering,9,undirected
Dickens_Bleak,Eliot_Middlemarch,6,undirected
Dickens_Bleak,Eliot_Mill,45,undirected
Dickens_Bleak,Richardson_Pamela,1,undirected
Dickens_Bleak,Sterne_Sentimental,63,undirected
Dickens_Bleak,Sterne_Tristram,36,undirected
Dickens_Bleak,Thackeray_Barry,17,undirected
Dickens_Bleak,Thackeray_Pendennis,116,undirected
Dickens_Bleak,Thackeray_Vanity,53,undirected
Dickens_David,ABronte_Agnes,2,undirected
Dickens_David,CBronte_Professor,34,undirected
Dickens_David,CBronte_Villette,52,undirected
Dickens_David,Dickens_Bleak,541,undirected
Dickens_David,Dickens_Hard,364,undirected
Dickens_David,EBronte_Wuthering,55,undirected
Dickens_David,Eliot_Adam,74,undirected
Dickens_David,Eliot_Mill,165,undirected
Dickens_David,Sterne_Sentimental,31,undirected
Dickens_David,Thackeray_Vanity,32,undirected
Dickens_Hard,Dickens_Bleak,460,undirected
Dickens_Hard,Dickens_David,364,undirected
Dickens_Hard,EHemingway_OldMan,41,undirected
Dickens_Hard,Eliot_Adam,17,undirected
Dickens_Hard,Eliot_Middlemarch,1,undirected
Dickens_Hard,Eliot_Mill,108,undirected
Dickens_Hard,Thackeray_Vanity,3,undirected
EBronte_Wuthering,ABronte_Agnes,22,undirected
EBronte_Wuthering,ABronte_Tenant,311,undirected
EBronte_Wuthering,CBronte_Jane,364,undirected
EBronte_Wuthering,CBronte_Professor,117,undirected
EBronte_Wuthering,CBronte_Villette,45,undirected
EBronte_Wuthering,Dickens_Bleak,9,undirected
EBronte_Wuthering,Dickens_David,55,undirected
EBronte_Wuthering,EHemingway_OldMan,185,undirected
EHemingway_OldMan,CBronte_Jane,229,undirected
EHemingway_OldMan,CBronte_Professor,3,undirected
EHemingway_OldMan,CBronte_Villette,80,undirected
