Source,Target,Weight,Type
ABronte_Agnes,Dickens_Bleak,5,undirected
ABronte_Agnes,Dickens_Hard,2,undirected
ABronte_Agnes,Eliot_Middlemarch,2,undirected
ABronte_Agnes,Eliot_Mill,3,undirected
ABronte_Tenant,Austen_Emma,6,undirected
ABronte_Tenant,CBronte_Professor,2,undirected
ABronte_Tenant,EBronte_Wuthering,1,undirected
ABronte_Tenant,Richardson_Pamela,1,undirected
Austen_Emma,ABronte_Tenant,6,undirected
Austen_Emma,CBronte_Professor,1,undirected
Austen_Emma,Richardson_Pamela,4,undirected
Austen_Pride,Austen_Sense,2,undirected
Austen_Pride,CBronte_Jane,6,undirected
Austen_Pride,CBronte_Professor,1,undirected
Austen_Pride,CBronte_Villette,3,undirected
Austen_Pride,EBronte_Wuthering,2,undirected
Austen_Pride,Eliot_Middlemarch,1,undirected
Austen_Sense,Austen_Pride,2,undirected
Austen_Sense,CBronte_Jane,1,undirected
Austen_Sense,CBronte_Professor,6,undirected
Austen_Sense,Dickens_David,2,undirected
CBronte_Jane,Austen_Pride,6,undirected
CBronte_Jane,Austen_Sense,1,undirected
CBronte_Jane,CBronte_Villette,5,undirected
CBronte_Jane,EBronte_Wuthering,1,undirected
CBronte_Jane,Eliot_Middlemarch,2,undirected
CBronte_Professor,ABronte_Tenant,2,undirected
CBronte_Professor,Austen_Emma,1,undirected
CBronte_Professor,Austen_Pride,1,undirected
CBronte_Professor,Austen_Sense,6,undirected
CBronte_Professor,EBronte_Wuthering,5,undirected
CBronte_Villette,Austen_Pride,3,undirected
CBronte_Villette,CBronte_Jane,5,undirected
CBronte_Villette,Dickens_Bleak,1,undirected
CBronte_Villette,Dickens_David,3,undirected
CBronte_Villette,Eliot_Middlemarch,5,undirected
Dickens_Bleak,ABronte_Agnes,5,undirected
Dickens_Bleak,CBronte_Villette,1,undirected
Dickens_Bleak,Eliot_Middlemarch,5,undirected
Dickens_Bleak,Eliot_Mill,1,undirected
Dickens_Bleak,Richardson_Clarissa,3,undirected
Dickens_David,Austen_Sense,2,undirected
Dickens_David,CBronte_Villette,3,undirected
Dickens_David,Eliot_Middlemarch,1,undirected
Dickens_David,Richardson_Pamela,3,undirected
Dickens_Hard,ABronte_Agnes,2,undirected
Dickens_Hard,Eliot_Mill,6,undirected
Dickens_Hard,Richardson_Clarissa,2,undirected
Dickens_Hard,Thackeray_Pendennis,2,undirected
Dickens_Hard,Trollope_Phineas,2,undirected
EBronte_Wuthering,ABronte_Tenant,1,undirected
EBronte_Wuthering,Austen_Pride,2,undirected
EBronte_Wuthering,CBronte_Jane,1,undirected
EBronte_Wuthering,CBronte_Professor,5,undirected
EHemingway_OldMan,Sterne_Sentimental,2,undirected
EHemingway_OldMan,Sterne_Tristram,3,undirected
EHemingway_OldMan,Trollope_Barchester,1,undirected
Eliot_Adam,Fielding_Joseph,6,undirected
Eliot_Adam,Fielding_Tom,4,undirected
Eliot_Adam,Trollope_Barchester,5,undirected
Eliot_Adam,Trollope_Phineas,1,undirected
Eliot_Adam,Trollope_Prime,2,undirected
Eliot_Middlemarch,ABronte_Agnes,2,undirected
Eliot_Middlemarch,Austen_Pride,1,undirected
Eliot_Middlemarch,CBronte_Jane,2,undirected
Eliot_Middlemarch,CBronte_Villette,5,undirected
Eliot_Middlemarch,Dickens_Bleak,5,undirected
Eliot_Middlemarch,Dickens_David,1,undirected
Eliot_Mill,ABronte_Agnes,3,undirected
Eliot_Mill,Dickens_Bleak,1,undirected
Eliot_Mill,Dickens_Hard,6,undirected
Eliot_Mill,Richardson_Clarissa,1,undirected
Fielding_Joseph,Eliot_Adam,6,undirected
Fielding_Joseph,Sterne_Sentimental,1,undirected
Fielding_Joseph,Sterne_Tristram,1,undirected
Fielding_Joseph,Thackeray_Barry,4,undirected
Fielding_Joseph,Thackeray_Vanity,2,undirected
Fielding_Joseph,Trollope_Barchester,2,undirected
Fielding_Tom,Eliot_Adam,4,undirected
Fielding_Tom,Thackeray_Barry,3,undirected
Fielding_Tom,Thackeray_Pendennis,3,undirected
Fielding_Tom,Trollope_Phineas,3,undirected
Fielding_Tom,Trollope_Prime,1,undirected
Richardson_Clarissa,Dickens_Bleak,3,undirected
Richardson_Clarissa,Dickens_Hard,2,undirected
Richardson_Clarissa,Eliot_Mill,1,undirected
Richardson_Pamela,ABronte_Tenant,1,undirected
Richardson_Pamela,Austen_Emma,4,undirected
Richardson_Pamela,Dickens_David,3,undirected
Sterne_Sentimental,EHemingway_OldMan,2,undirected
Sterne_Sentimental,Fielding_Joseph,1,undirected
Sterne_Sentimental,Sterne_Tristram,6,undirected
Sterne_Sentimental,Trollope_Barchester,2,undirected
Sterne_Tristram,EHemingway_OldMan,3,undirected
Sterne_Tristram,Fielding_Joseph,1,undirected
Sterne_Tristram,Sterne_Sentimental,6,undirected
Sterne_Tristram,Trollope_Barchester,2,undirected
Thackeray_Barry,Fielding_Joseph,4,undirected
Thackeray_Barry,Fielding_Tom,3,undirected
Thackeray_Barry,Thackeray_Vanity,6,undirected
Thackeray_Pendennis,Dickens_Hard,2,undirected
Thackeray_Pendennis,Fielding_Tom,3,undirected
Thackeray_Pendennis,Thackeray_Vanity,4,undirected
Thackeray_Vanity,Fielding_Joseph,2,undirected
Thackeray_Vanity,Thackeray_Barry,6,undirected
Thackeray_Vanity,Thackeray_Pendennis,4,undirected
Trollope_Barchester,EHemingway_OldMan,1,undirected
Trollope_Barchester,Eliot_Adam,5,undirected
Trollope_Barchester,Fielding_Joseph,2,undirected
Trollope_Barchester,Sterne_Sentimental,2,undirected
Trollope_Barchester,Sterne_Tristram,2,undirected
Trollope_Barchester,Trollope_Prime,5,undirected
Trollope_Phineas,Dickens_Hard,2,undirected
Trollope_Phineas,Eliot_Adam,1,undirected
Trollope_Phineas,Fielding_Tom,3,undirected
Trollope_Prime,Eliot_Adam,2,undirected
Trollope_Prime,Fielding_Tom,1,undirected
Trollope_Prime,Trollope_Barchester,5,undirected
